section_id,from_station,to_station,length_km,n_trains
BRC>ST,BRC,ST,128.0,11
ST>BRC,ST,BRC,129.0,11
BRC>RTM,BRC,RTM,262.0,10
KOTA>RTM,KOTA,RTM,265.0,10
RTM>BRC,RTM,BRC,263.0,10
RTM>KOTA,RTM,KOTA,266.0,10
KOTA>SWM,KOTA,SWM,108.0,9
SWM>KOTA,SWM,KOTA,108.0,9
BTE>MTJ,BTE,MTJ,34.0,8
MTJ>BTE,MTJ,BTE,33.5,8
BSR>PNVL,BSR,PNVL,66.0,7
KOTA>NZM,KOTA,NZM,448.0,7
MTJ>NZM,MTJ,NZM,128.0,7
NZM>KOTA,NZM,KOTA,450.0,7
PNVL>BSR,PNVL,BSR,65.0,7
BH>BRC,BH,BRC,70.0,6
BH>ST,BH,ST,58.0,6
BRC>BH,BRC,BH,70.0,6
BRC>KOTA,BRC,KOTA,527.0,6
KOTA>BRC,KOTA,BRC,528.0,6
NZM>MTJ,NZM,MTJ,130.0,6
ST>BH,ST,BH,59.0,6
BDTS>BVI,BDTS,BVI,18.0,5
BSR>ST,BSR,ST,215.0,5
BVI>BDTS,BVI,BDTS,19.0,5
CAN>CLT,CAN,CLT,89.0,5
CLT>CAN,CLT,CAN,89.0,5
CLT>SRR,CLT,SRR,86.0,5
MAJN>UD,MAJN,UD,65.0,5
SRR>CLT,SRR,CLT,86.0,5
SRR>TCR,SRR,TCR,34.0,5
ST>BSR,ST,BSR,215.0,5
TCR>SRR,TCR,SRR,33.0,5
UD>MAJN,UD,MAJN,62.0,5
BL>VAPI,BL,VAPI,24.0,4
BRC>GDA,BRC,GDA,73.0,4
BTE>BXN,BTE,BXN,42.0,4
BTE>SWM,BTE,SWM,179.0,4
BXN>BTE,BXN,BTE,41.5,4
DHD>GDA,DHD,GDA,74.5,4
DHD>MGN,DHD,MGN,33.0,4
DRD>VAPI,DRD,VAPI,50.5,4
GDA>BRC,GDA,BRC,72.5,4
GDA>DHD,GDA,DHD,74.0,4
GZB>MTC,GZB,MTC,47.0,4
GZB>NZM,GZB,NZM,27.0,4
KYJ>QLN,KYJ,QLN,41.0,4
MGN>DHD,MGN,DHD,33.0,4
MTC>GZB,MTC,GZB,47.5,4
NAD>RTM,NAD,RTM,45.0,4
NVS>ST,NVS,ST,29.0,4
NZM>GZB,NZM,GZB,28.0,4
NZM>NDLS,NZM,NDLS,7.0,4
PNVL>RN,PNVL,RN,281.0,4
QLN>KYJ,QLN,KYJ,41.0,4
RN>PNVL,RN,PNVL,284.0,4
RTM>NAD,RTM,NAD,44.5,4
ST>NVS,ST,NVS,30.0,4
ST>VAPI,ST,VAPI,93.0,4
SWM>BTE,SWM,BTE,179.0,4
VAPI>BL,VAPI,BL,24.0,4
VAPI>ST,VAPI,ST,92.5,4
ALLP>ERS,ALLP,ERS,57.0,3
ALLP>KYJ,ALLP,KYJ,43.0,3
ASR>BEAS,ASR,BEAS,42.0,3
BEAS>ASR,BEAS,ASR,43.0,3
BEAS>JUC,BEAS,JUC,36.0,3
BL>NVS,BL,NVS,40.0,3
BVI>ST,BVI,ST,233.0,3
CAN>KGQ,CAN,KGQ,86.0,3
CHI>RN,CHI,RN,76.0,3
ERS>ALLP,ERS,ALLP,57.0,3
FDB>MTJ,FDB,MTJ,112.0,3
FDB>NZM,FDB,NZM,17.0,3
GGC>SMBJ,GGC,SMBJ,30.0,3
GGC>SWM,GGC,SWM,64.0,3
HAN>SMBJ,HAN,SMBJ,10.0,3
HW>RK,HW,RK,41.0,3
JUC>BEAS,JUC,BEAS,36.0,3
KAWR>MAO,KAWR,MAO,58.0,3
KAWR>UD,KAWR,UD,191.0,3
KGQ>CAN,KGQ,CAN,86.0,3
KGQ>MAJN,KGQ,MAJN,47.0,3
KOTA>NDLS,KOTA,NDLS,455.0,3
KOTA>RMA,KOTA,RMA,73.0,3
KYJ>ALLP,KYJ,ALLP,43.0,3
LDH>UMB,LDH,UMB,114.0,3
MAJN>KGQ,MAJN,KGQ,47.0,3
MAO>KAWR,MAO,KAWR,58.0,3
MGN>RTM,MGN,RTM,82.0,3
MTJ>FDB,MTJ,FDB,111.0,3
NDLS>KOTA,NDLS,KOTA,457.0,3
NVS>BL,NVS,BL,39.0,3
QLN>TVC,QLN,TVC,65.0,3
RK>HW,RK,HW,41.0,3
RMA>KOTA,RMA,KOTA,72.0,3
RN>CHI,RN,CHI,78.0,3
RTM>MGN,RTM,MGN,82.0,3
SMBJ>GGC,SMBJ,GGC,30.0,3
SMBJ>HAN,SMBJ,HAN,11.0,3
ST>BVI,ST,BVI,233.0,3
SWM>GGC,SWM,GGC,63.0,3
TVC>QLN,TVC,QLN,64.0,3
UD>KAWR,UD,KAWR,190.0,3
UMB>LDH,UMB,LDH,113.0,3
VAPI>DRD,VAPI,DRD,50.0,3
ADH>BVI,ADH,BVI,12.0,2
AKV>BH,AKV,BH,10.0,2
BCT>BRC,BCT,BRC,391.0,2
BCT>BVI,BCT,BVI,29.0,2
BDTS>ST,BDTS,ST,251.0,2
BH>AKV,BH,AKV,9.5,2
BIM>BL,BIM,BL,18.0,2
BL>BIM,BL,BIM,18.5,2
BRC>BCT,BRC,BCT,391.0,2
BRC>MYG,BRC,MYG,30.0,2
BRC>SMLA,BRC,SMLA,25.5,2
BSR>DRD,BSR,DRD,72.0,2
