train_no,train_category,run_date,step_seq,from_station,to_station,booked_srt_min,actual_srt_min,minutes_lost,length_km,dep_delay_min,dep_time,arr_time
12247,Express,2026-09-18,0,BDTS,ST,200,195,-5,252.0,0,2026-09-18T17:30:00+05:30,2026-09-18T20:45:00+05:30
12247,Express,2026-09-18,1,ST,BRC,84,104,20,129.60000000000002,0,2026-09-18T20:55:00+05:30,2026-09-18T22:39:00+05:30
12247,Express,2026-09-18,2,BRC,RTM,201,186,-15,260.4,19,2026-09-18T22:48:00+05:30,2026-09-19T01:54:00+05:30
12247,Express,2026-09-18,3,RTM,KOTA,162,174,12,269.29999999999995,5,2026-09-19T01:58:00+05:30,2026-09-19T04:52:00+05:30
12247,Express,2026-09-18,4,KOTA,MTJ,218,202,-16,324.4000000000001,22,2026-09-19T05:02:00+05:30,2026-09-19T08:24:00+05:30
12247,Express,2026-09-18,5,MTJ,NZM,115,109,-6,133.89999999999986,10,2026-09-19T08:30:00+05:30,2026-09-19T10:19:00+05:30
12248,Express,2026-09-19,0,NZM,MTJ,93,88,-5,133.9,0,2026-09-19T16:30:00+05:30,2026-09-19T17:58:00+05:30
12248,Express,2026-09-19,1,MTJ,KOTA,190,199,9,324.5,1,2026-09-19T18:06:00+05:30,2026-09-19T21:25:00+05:30
12248,Express,2026-09-19,2,KOTA,RTM,175,174,-1,266.80000000000007,14,2026-09-19T21:34:00+05:30,2026-09-20T00:28:00+05:30
12248,Express,2026-09-19,3,RTM,BRC,217,209,-8,262.79999999999995,13,2026-09-20T00:31:00+05:30,2026-09-20T04:00:00+05:30
12248,Express,2026-09-19,4,BRC,ST,92,80,-12,129.70000000000005,1,2026-09-20T04:06:00+05:30,2026-09-20T05:26:00+05:30
12248,Express,2026-09-19,5,ST,BDTS,213,191,-22,252.0,0,2026-09-20T05:42:00+05:30,2026-09-20T08:53:00+05:30
12471,Express,2026-09-17,0,BDTS,BVI,19,29,10,18.4,3,2026-09-17T11:03:00+05:30,2026-09-17T11:32:00+05:30
12471,Express,2026-09-17,1,BVI,PLG,44,41,-3,57.00000000000001,21,2026-09-17T11:43:00+05:30,2026-09-17T12:24:00+05:30
12471,Express,2026-09-17,2,PLG,VAPI,50,50,0,81.6,18,2026-09-17T12:26:00+05:30,2026-09-17T13:16:00+05:30
12471,Express,2026-09-17,3,VAPI,ST,79,64,-15,95.0,18,2026-09-17T13:18:00+05:30,2026-09-17T14:22:00+05:30
12471,Express,2026-09-17,4,ST,BH,38,42,4,59.10000000000002,3,2026-09-17T14:27:00+05:30,2026-09-17T15:09:00+05:30
12471,Express,2026-09-17,5,BH,BRC,52,42,-10,70.5,7,2026-09-17T15:11:00+05:30,2026-09-17T15:53:00+05:30
12471,Express,2026-09-17,6,BRC,GDA,66,68,2,73.89999999999998,1,2026-09-17T16:07:00+05:30,2026-09-17T17:15:00+05:30
12471,Express,2026-09-17,7,GDA,DHD,46,50,4,73.10000000000002,3,2026-09-17T17:17:00+05:30,2026-09-17T18:07:00+05:30
12471,Express,2026-09-17,8,DHD,MGN,24,34,10,33.10000000000002,6,2026-09-17T18:08:00+05:30,2026-09-17T18:42:00+05:30
12471,Express,2026-09-17,9,MGN,BMI,32,30,-2,35.5,16,2026-09-17T18:44:00+05:30,2026-09-17T19:14:00+05:30
12471,Express,2026-09-17,10,BMI,RTM,43,41,-2,44.799999999999955,13,2026-09-17T19:15:00+05:30,2026-09-17T19:56:00+05:30
12471,Express,2026-09-17,11,RTM,NAD,48,41,-7,43.89999999999998,11,2026-09-17T20:06:00+05:30,2026-09-17T20:47:00+05:30
12471,Express,2026-09-17,12,NAD,VMA,25,33,8,40.10000000000002,1,2026-09-17T20:49:00+05:30,2026-09-17T21:22:00+05:30
12471,Express,2026-09-17,13,VMA,BWM,48,50,2,84.89999999999998,9,2026-09-17T21:24:00+05:30,2026-09-17T22:14:00+05:30
12471,Express,2026-09-17,14,BWM,KOTA,70,62,-8,100.39999999999998,11,2026-09-17T22:16:00+05:30,2026-09-17T23:18:00+05:30
12471,Express,2026-09-17,15,KOTA,SWM,68,66,-2,107.80000000000007,3,2026-09-17T23:28:00+05:30,2026-09-18T00:34:00+05:30
12471,Express,2026-09-17,16,SWM,GGC,38,42,4,63.80000000000007,2,2026-09-18T00:37:00+05:30,2026-09-18T01:19:00+05:30
12471,Express,2026-09-17,17,GGC,MTJ,115,101,-14,152.79999999999995,7,2026-09-18T01:22:00+05:30,2026-09-18T03:03:00+05:30
12471,Express,2026-09-17,18,MTJ,NZM,108,121,13,133.89999999999986,11,2026-09-18T03:26:00+05:30,2026-09-18T05:27:00+05:30
12471,Express,2026-09-17,19,NZM,NDLS,20,18,-2,7.2000000000000455,24,2026-09-18T05:29:00+05:30,2026-09-18T05:47:00+05:30
12471,Express,2026-09-17,20,NDLS,PNP,93,100,7,89.90000000000009,26,2026-09-18T06:06:00+05:30,2026-09-18T07:46:00+05:30
12471,Express,2026-09-17,21,PNP,UMB,92,63,-29,109.39999999999986,33,2026-09-18T07:48:00+05:30,2026-09-18T08:51:00+05:30
12471,Express,2026-09-17,22,UMB,LDH,86,79,-7,113.60000000000014,3,2026-09-18T08:55:00+05:30,2026-09-18T10:14:00+05:30
12471,Express,2026-09-17,23,LDH,PGW,29,41,12,35.799999999999955,1,2026-09-18T10:26:00+05:30,2026-09-18T11:07:00+05:30
12471,Express,2026-09-17,24,PGW,JRC,17,14,-3,16.5,13,2026-09-18T11:09:00+05:30,2026-09-18T11:23:00+05:30
12471,Express,2026-09-17,25,JRC,PTKC,104,91,-13,112.09999999999991,10,2026-09-18T11:26:00+05:30,2026-09-18T12:57:00+05:30
12471,Express,2026-09-17,26,PTKC,MSKT,28,30,2,23.100000000000136,1,2026-09-18T13:04:00+05:30,2026-09-18T13:34:00+05:30
12471,Express,2026-09-17,27,MSKT,JAT,77,87,10,76.0,3,2026-09-18T13:36:00+05:30,2026-09-18T15:03:00+05:30
12471,Express,2026-09-17,28,JAT,MCTM,98,81,-17,53.200000000000045,13,2026-09-18T15:08:00+05:30,2026-09-18T16:29:00+05:30
12471,Express,2026-09-17,29,MCTM,SVDK,75,74,-1,24.899999999999864,1,2026-09-18T16:36:00+05:30,2026-09-18T17:50:00+05:30
12471,Express,2026-09-18,0,PLG,VAPI,50,54,4,81.6,13,2026-09-18T12:21:00+05:30,2026-09-18T13:15:00+05:30
12471,Express,2026-09-18,1,VAPI,ST,79,65,-14,95.0,17,2026-09-18T13:17:00+05:30,2026-09-18T14:22:00+05:30
12471,Express,2026-09-18,2,ST,BH,38,57,19,59.10000000000002,4,2026-09-18T14:28:00+05:30,2026-09-18T15:25:00+05:30
12471,Express,2026-09-18,3,BH,BRC,52,44,-8,70.5,23,2026-09-18T15:27:00+05:30,2026-09-18T16:11:00+05:30
12471,Express,2026-09-18,4,BRC,GDA,66,60,-6,73.89999999999998,14,2026-09-18T16:20:00+05:30,2026-09-18T17:20:00+05:30
12471,Express,2026-09-18,5,GDA,DHD,46,47,1,73.10000000000002,9,2026-09-18T17:23:00+05:30,2026-09-18T18:10:00+05:30
12471,Express,2026-09-18,6,DHD,MGN,24,27,3,33.10000000000002,12,2026-09-18T18:14:00+05:30,2026-09-18T18:41:00+05:30
12471,Express,2026-09-18,7,MGN,BMI,32,31,-1,35.5,15,2026-09-18T18:43:00+05:30,2026-09-18T19:14:00+05:30
12471,Express,2026-09-18,8,BMI,RTM,43,43,0,44.799999999999955,13,2026-09-18T19:15:00+05:30,2026-09-18T19:58:00+05:30
12471,Express,2026-09-18,9,RTM,NAD,48,36,-12,43.89999999999998,13,2026-09-18T20:08:00+05:30,2026-09-18T20:44:00+05:30
12471,Express,2026-09-18,10,NAD,VMA,25,33,8,40.10000000000002,0,2026-09-18T20:48:00+05:30,2026-09-18T21:21:00+05:30
12471,Express,2026-09-18,11,VMA,BWM,48,51,3,84.89999999999998,8,2026-09-18T21:23:00+05:30,2026-09-18T22:14:00+05:30
12471,Express,2026-09-18,12,BWM,KOTA,70,73,3,100.39999999999998,11,2026-09-18T22:16:00+05:30,2026-09-18T23:29:00+05:30
12471,Express,2026-09-18,13,KOTA,SWM,68,64,-4,107.80000000000007,16,2026-09-18T23:41:00+05:30,2026-09-19T00:45:00+05:30
12471,Express,2026-09-18,14,SWM,GGC,38,44,6,63.80000000000007,13,2026-09-19T00:48:00+05:30,2026-09-19T01:32:00+05:30
12471,Express,2026-09-18,15,GGC,MTJ,115,93,-22,152.79999999999995,19,2026-09-19T01:34:00+05:30,2026-09-19T03:07:00+05:30
12471,Express,2026-09-18,16,MTJ,NZM,108,98,-10,133.89999999999986,1,2026-09-19T03:16:00+05:30,2026-09-19T04:54:00+05:30
12471,Express,2026-09-18,17,NZM,NDLS,20,16,-4,7.2000000000000455,0,2026-09-19T05:05:00+05:30,2026-09-19T05:21:00+05:30
12471,Express,2026-09-18,18,NDLS,PNP,93,94,1,89.90000000000009,14,2026-09-19T05:54:00+05:30,2026-09-19T07:28:00+05:30
12471,Express,2026-09-18,19,UMB,LDH,86,75,-11,113.60000000000014,0,2026-09-19T08:52:00+05:30,2026-09-19T10:07:00+05:30
12471,Express,2026-09-18,20,LDH,PGW,29,39,10,35.799999999999955,3,2026-09-19T10:28:00+05:30,2026-09-19T11:07:00+05:30
12471,Express,2026-09-18,21,PGW,JRC,17,12,-5,16.5,13,2026-09-19T11:09:00+05:30,2026-09-19T11:21:00+05:30
12471,Express,2026-09-18,22,JRC,PTKC,104,86,-18,112.09999999999991,10,2026-09-19T11:26:00+05:30,2026-09-19T12:52:00+05:30
12471,Express,2026-09-18,23,PTKC,MSKT,28,27,-1,23.100000000000136,2,2026-09-19T13:05:00+05:30,2026-09-19T13:32:00+05:30
12471,Express,2026-09-18,24,MSKT,JAT,77,88,11,76.0,0,2026-09-19T13:33:00+05:30,2026-09-19T15:01:00+05:30
12471,Express,2026-09-18,25,JAT,MCTM,98,88,-10,53.200000000000045,8,2026-09-19T15:03:00+05:30,2026-09-19T16:31:00+05:30
12471,Express,2026-09-18,26,MCTM,SVDK,75,63,-12,24.899999999999864,0,2026-09-19T16:35:00+05:30,2026-09-19T17:38:00+05:30
12472,Express,2026-09-18,0,SVDK,MCTM,44,34,-10,24.8,2,2026-09-18T09:42:00+05:30,2026-09-18T10:16:00+05:30
12472,Express,2026-09-18,1,MCTM,JAT,59,68,9,53.2,3,2026-09-18T10:29:00+05:30,2026-09-18T11:37:00+05:30
12472,Express,2026-09-18,2,PTKC,JRC,120,99,-21,112.10000000000002,12,2026-09-18T13:37:00+05:30,2026-09-18T15:16:00+05:30
12472,Express,2026-09-18,3,JRC,PGW,12,16,4,16.5,0,2026-09-18T15:30:00+05:30,2026-09-18T15:46:00+05:30
12472,Express,2026-09-18,4,PGW,LDH,36,35,-1,35.80000000000001,5,2026-09-18T15:49:00+05:30,2026-09-18T16:24:00+05:30
12472,Express,2026-09-18,5,UMB,PNP,65,78,13,109.40000000000003,0,2026-09-18T18:35:00+05:30,2026-09-18T19:53:00+05:30
12472,Express,2026-09-18,6,PNP,SZM,58,56,-2,85.79999999999995,13,2026-09-18T19:55:00+05:30,2026-09-18T20:51:00+05:30
12472,Express,2026-09-18,7,SZM,NDLS,43,31,-12,4.0,12,2026-09-18T20:54:00+05:30,2026-09-18T21:25:00+05:30
12472,Express,2026-09-18,8,NDLS,MTJ,100,112,12,141.10000000000002,0,2026-09-18T21:40:00+05:30,2026-09-18T23:32:00+05:30
12472,Express,2026-09-18,9,MTJ,GGC,88,97,9,152.89999999999998,11,2026-09-18T23:36:00+05:30,2026-09-19T01:13:00+05:30
12472,Express,2026-09-18,10,GGC,SWM,38,37,-1,63.80000000000007,20,2026-09-19T01:15:00+05:30,2026-09-19T01:52:00+05:30
12472,Express,2026-09-18,11,SWM,KOTA,65,78,13,107.89999999999986,19,2026-09-19T01:54:00+05:30,2026-09-19T03:12:00+05:30
